method,variant,seed,best_epoch,val_mse,test_mse
DamXer,DamXer,2021,6,0.138740122318268,0.168952509760857
DamXer,DamXer,2022,9,0.135913327336311,0.174619719386101
DamXer,DamXer,2023,3,0.136989727616310,0.186685636639595
DamXer,DamXer,2024,8,0.139526073204527,0.180866751252471
DamXer,DamXer,2025,10,0.136370330041674,0.180499100871417
DamXer,DamXer reduced-lag ENV,2021,3,0.137096017599106,0.182477548718452
DamXer,DamXer reduced-lag ENV,2022,12,0.135987460613251,0.193463206291199
DamXer,DamXer reduced-lag ENV,2023,3,0.138367831707001,0.198995292186737
DamXer,DamXer reduced-lag ENV,2024,2,0.134050911456250,0.198384927940860
DamXer,DamXer reduced-lag ENV,2025,2,0.136369426732414,0.199683188119521
DamXer,DamXer displacement only,2021,4,0.137467280030251,0.203219339251518
DamXer,DamXer displacement only,2022,7,0.137652635574341,0.196981906890869
DamXer,DamXer displacement only,2023,6,0.137784391641617,0.192369312047958
DamXer,DamXer displacement only,2024,4,0.137354550003157,0.193256041966697
DamXer,DamXer displacement only,2025,9,0.137277467612922,0.197753692986998
TSLib,PatchTST,2021,2,0.128384262323380,0.197241336107254
TSLib,PatchTST,2022,7,0.127244725823402,0.189144119620323
TSLib,PatchTST,2023,4,0.128252729773521,0.195562914013863
TSLib,PatchTST,2024,5,0.128132775425911,0.189547538757324
TSLib,PatchTST,2025,3,0.130769774317741,0.199364855885506
TSLib,iTransformer (dx only),2021,4,0.136756286025047,0.209299370646477
TSLib,iTransformer (dx only),2022,6,0.139208242297173,0.200738117098808
TSLib,iTransformer (dx only),2023,2,0.138784542679787,0.207875460386276
TSLib,iTransformer (dx only),2024,4,0.137631252408028,0.204739451408386
TSLib,iTransformer (dx only),2025,4,0.138598099350929,0.201161280274391
TSLib,DLinear,2021,6,0.147974088788033,0.294469654560089
TSLib,DLinear,2022,3,0.147939160466194,0.301659017801285
TSLib,DLinear,2023,26,0.143238440155983,0.274213612079620
TSLib,DLinear,2024,8,0.147229835391045,0.295974880456924
TSLib,DLinear,2025,16,0.145456284284592,0.287810921669006
TSLib,TimesNet,2021,1,0.211728870868683,0.485135525465012
TSLib,TimesNet,2022,1,0.206903681159019,0.582940757274628
TSLib,TimesNet,2023,1,0.205862656235695,0.453127682209015
TSLib,TimesNet,2024,1,0.185446083545685,0.405279815196991
TSLib,TimesNet,2025,1,0.194119632244110,0.518962085247040
TSLib,FEDformer,2021,9,0.209662660956383,0.572116494178772
TSLib,FEDformer,2022,6,0.230220407247543,0.621509194374084
TSLib,FEDformer,2023,5,0.217553645372391,0.584114015102386
TSLib,FEDformer,2024,14,0.213739097118378,0.589793920516968
TSLib,FEDformer,2025,23,0.213744342327118,0.585882842540741
TSLib,iTransformer+raw ENV (720),2021,3,0.139609586296403,0.270180985396733
TSLib,iTransformer+raw ENV (720),2022,2,0.139983685374460,0.292355181393711
TSLib,iTransformer+raw ENV (720),2023,6,0.129479951524124,0.227205906469877
TSLib,iTransformer+raw ENV (720),2024,4,0.132031079688567,0.266031426660861
TSLib,iTransformer+raw ENV (720),2025,5,0.130590236895865,0.263482285008198
